PaperID,Authors,Article Title,Year,Source title,Abstract
1,Ren J.; Li J.; Li Y.; Li Y.; Chen J.; Wen Y.; Yuan Z.,Double-Fracture Disconnecting Switch for Non-Outage Expansion of Three-Phase Common Enclosure GIS,2025,Lecture Notes in Electrical Engineering,"To solve the on-site non-outage extension and voltage withstand test of 110 kV three-phase common enclosure gas insulated switchgear (GIS), a new type of 110 kV three-phase common enclosure double-fracture disconnecting switch (DDS) is presented. First, the structural characteristics and construction scheme of the three-phase common enclosure DDS are introduced, and its feasibility to realize the extension and voltage withstand test under non-power outage of 110 kV GIS busbar is demonstrated, and the initial design scheme of three-phase common enclosure DDS is given accordingly. Then, the designed three-phase common enclosure DDS is verified by the calculation of internal insulation, long-term temperature rise and dynamic stability based on the simulation of finite element electric field, temperature flow field and mechanical structure respectively. The results show that the designed three-phase common enclosure DDS has sufficient electrical insulation strength, margins of maximum temperature rise and structural strength. The designed three-phase common enclosure DDS has passed the full set of type tests required by national standards, which meets the demand of applying to practical projects. © Beijing Paike Culture Commu. Co., Ltd. 2025."
2,Donovan T.P.; Morin C.R.; Burns M.,Portland (Maine) International Marine Terminal Western Yard Expansion,2025,Ports 2025: Port Planning and Development - Selected Papers from the 17th Triennial International Conference,"The Portland International Marine Terminal (IMT) is vital to the continued growth of Maine's economy, and the Western Yard Expansion project will increase the ability of the Maine Port Authority (MPA) to serve Maine's import/export needs into the future. The Western Yard Expansion will bring more accessible import/export capabilities to Maine's smaller producers as well as generate income for the state. Further, the expansion will allow the terminal operator, Eimskip, to expand their throughput and to centralize their refrigerated container operations in Portland. The expansion consists of the conversion of the underutilized western yard, currently used to store empty containers and container chassis, into a storage yard for 420 refrigerated containers. The new yard will operate in tandem with a new cold storage warehouse currently under construction adjacent to the site. The design elements associated with the expansion included port planning and internal traffic flow design of the terminal; structural and geotechnical design of the steel refrigerator container racks and the pile-supported concrete foundations; site design and stormwater management; and the electrical design of the primary service, feeder lines, and equipment with an integrated automation system. There were several physical constraints that had to be considered, which proved to be very challenging to the design process. A city-owned combined-sewer-overflow (CSO) pipe and two underground high-voltage transmission lines ran through the site, which required extensive coordination and ultimately led to relocating and upsizing the CSO and including a special foundation to span over the transmission lines. New container stack loads acting on poor marine clays found at the site were expected to result in excessive settlements. Therefore, the refrigerated container rack required a deep foundation (steel pipe piles), and concrete pile caps had to be extended to accommodate each end of the containers. Additionally, the large container live loads required that the concrete foundation beams be designed as deep beams. Finally, the terminal is located across the street from a residential zone, which has noise restrictions during the nighttime hours. An acoustic study performed to evaluate noise from the operating reefer units found that only 15% of the reefer compressors could be running at any given time. Therefore, to control the noise, the electrical switchgear design included an automation system to limit the number of active outlets and in turn, the number of running compressors. This paper focuses on the design challenges and innovative solutions incorporated to allow the development of the western yard expansion to occur, together with the history of the site that has shaped its development over the past two decades and how the Portland IMT fits into the State's Three Port Strategy. © 2025 ASCE."
3,Issabekov D.D.,Resource-Saving Protection of Electrical Installations with Inductive Coils,2025,"Proceedings - 2025 International Russian Smart Industry Conference, SmartIndustryCon 2025","It is worth noting that a key challenge in today's electric power systems relates to the implementation of relay protection for high-voltage electrical installations. This practice has been a topic of discussion at several international conferences on large power systems (CIGRE). It has been suggested that the use of traditional current transformers (CTs) with ferromagnetic cores in such contexts may be a concern. These devices are known for their intensive use of metal, their substantial size, and the cost of their insulation. This article proposes a novel approach to current protection for electrical installations, utilising inductance coils as a means to illustrate the concept. The selection of inductance coils is predicated on their numerous advantages over other magnetosensitive elements in terms of relay protection. However, the feasibility of employing these coils for current protection in various electrical installations has not yet been thoroughly examined. This paper aims to address these concerns in the context of developing current protection for electrical installations using inductance coils fed from complete switchgear (CSG) with voltages ranging from 6 to 10 kV. The proposed protection facilitates the adjustment of settings through remote manipulation of the inductance coil, relative to the plane of the current-carrying busbar, utilising a micromotor. It is hoped that the elimination of costly and metal-intensive current transformers with ferromagnetic cores will contribute to reduced material expenses for the construction of current protection for electrical installations of any type and voltage class. © 2025 IEEE."
4,Chen J.; Zhang S.; Peng Z.; Wang S.; Ding J.; Luo W.; La Y.,Research on the Gradient Control Method of Electric Field Strength for Environmentally Friendly GIS Basin Insulators,2024,"Proceedings of 2024 IEEE 7th International Electrical and Energy Conference, CIEEC 2024","With the promotion of the dual carbon goal, the green and low-carbon transformation of the power system is imperative, and the replacement of fluorine containing switchgear is urgent. Green and environmentally friendly switchgear has become an urgent need for the construction of new power systems. This article establishes an electric-thermal-current multi field coupling simulation model for the accumulation of surface charges on insulators. A method for constructing composite gradient interface insulation of basin insulators is proposed by comparing the surface electric field distribution patterns and surface charge accumulation characteristics of insulators with different structures. The focus of geometric structure optimization is to achieve the reduction of surface normal electric field components and the suppression of surface charge accumulation. Reasonably optimizing the surface contour curve of insulators can simultaneously improve the tangential and normal electric field distribution of insulators, using particle swarm intelligence optimization algorithm. After optimization, the maximum field strength on the convex side of the spacer surface decreased to 3.27 kV/mm, and the maximum field strength on the concave side decreased to 3.67 kV/ mm.  © 2024 IEEE."
5,You Y.; Wang X.; Dai D.; Zhuo K.; Wang X.,Simulation and Optimization of Electrostatic Field in 40.5kV Inflatable Switchgear Cabinet,2024,ICEPE-ST 2024 - 7th International Conference on Electric Power Equipment - Switching Technology,"The current rapid development of China's power transmission and transformation industry, inflatable switchgear has excellent environmental adaptability and small size, in the transmission and distribution network has been widely used. In order to further enhance the application range of inflatable cabinets, it is important to optimize the insulation performance of miniaturized switchgear. In this paper, electrostatic field simulation of 40.5kV inflatable switchgear based on the finite element method is carried out to judge the internal electric field distribution. Simulate and analyze the potential distribution and electric field strength distribution under the operating condition of the circuit breaker of the inflatable switchgear. The simulation results show that the electric field of sulfur hexafluoride in the outer shell of the inflatable switchgear is more concentrated near the poles, and the maximum value of the electric field reaches 78.2kV/mm, which exceeds the breakdown strength of the sulfur hexafluoride medium by 9kV/mm. Subsequently, the problem of excessive localized field strength is solved by studying the effects of conditions such as the length of the metal shielding ring and the radius of the metal crimp on the shielding effect. According to the simulation data, maintaining the volume and basic layout of the existing inflatable switchgear cabinet unchanged, after adding the optimized grounded metal shielding ring, the field strength at the pole and shell can be reduced to less than 9kV/mm, which meets the insulation requirements. The research results of this paper can provide theoretical guidance for the optimal design of the insulation of inflatable switchgear. © 2024 IEEE."
6,Vaghefi-Rezaee H.A.; Khademi-Adel S.; Sarvari H.; Edwards D.J.; Rashidi A.,A hybrid risk-based maintenance approach for evaluating the maintenance risks of urban tunnel lighting systems,2025,Journal of Quality in Maintenance Engineering,"Purpose: Given the expansion of cities and urbanization, developing efficient and reliable transportation infrastructure, especially urban tunnels, is essential. Failure to maintain such complex construction facilities with intelligent equipment systems could result in human losses and impose huge costs on governments. Therefore, it is necessary to have practical maintenance plans and operational safety monitoring for urban tunnels, which leads to their long lifespan, increases users’ safety and reduces operation risks. Design/methodology/approach: Hence, this research aims to evaluate the maintenance risks of urban tunnel lighting systems (UTLS) using a hybrid risk-based maintenance (RBM) approach. In this vein, three rounds of a fuzzy Delphi survey were conducted to consolidate the specific operation criteria and maintenance risk factors to the circumstances of Iran and UTLS. Furthermore, the fuzzy DEMATEL method was applied to determine the cause-and-effect relationships among the identified critical operation criteria. The identified risks associated with maintenance in UTLS were then analyzed and ranked using a combination of fuzzy ANP-VIKOR techniques. Findings: The ranking of the various risks revealed that the “poor performance of switchboards in power supply due to faults in switchboard equipment” risk was ranked first, followed by the “poor performance of panels in the power supply due to unfavorable environmental conditions,” “The poor performance of panels in the power supply due to problems with switches (key failure)” and “The poor performance of panels in power supply due to burning fuses due to unauthorized current” risks. The findings of this study indicate that this hybrid maintenance method, developed as a risk-based network, provides reliability for maintaining urban tunnel lighting systems (UTLS). Originality/value: It is anticipated that the findings of this research will considerably contribute to improving UTLS maintenance management while enhancing different stakeholders’ understanding of the most critical risks in maintenance, particularly toward the UTLS in Iran. An RBM management program can result in preparing and formulating policies, comprehensive guidelines or regulations for the maintenance of urban tunnels that are recommended for future research. © 2024, Emerald Publishing Limited."
7,Zhang T.; Li Y.; Xu L.; Su G.; Liu Q.; Xiong Z.,Study on Optimization and Application of 500kV HGIS Layout,2024,"Proceedings - 2024 9th Asia Conference on Power and Electrical Engineering, ACPEE 2024","In the background of HGIS(Hybrid Gas Insulated Switchgear) gradually replacing outdoor GIS(Gas Insulated Switchgear) and AIS(Air Insulated Switchgear) as the mainstream equipment type for high-voltage substations in China, 500kV HGIS substation with one and a half circuit breaker wiring arrangement has the problem of a large power outage range during expansion and maintenance. In order to solve the problem, we analyze the entire lifecycle, with a focus on differences in equipment type and cost and construction flexibility, site area, and the impact on expansion and maintenance of the three layout plans of in-line type HGIS. And we recommend the circuit breaker separation layout plan which has better construction flexibility and larger operation and maintenance space. Moreover the circuit breaker separation layout plan can significantly reduce the outage time and losses which is of great significance for the safe and stable operation of the power grid and national production and life.  © 2024 IEEE."
8,Jirapong P.; Jakrawatana N.; Thararak P.; Hariwon S.; Chaisuwan S.; Kaewwong S.; Junpong P.; Menthakanuwong T.; Langka K.,Assessments of General Public and Occupational Exposure to Extremely Low Frequency Electric and Magnetic Fields from 115/22 kV Substations in Urban Areas of Thailand,2024,Lecture Notes in Electrical Engineering,"Increasing electricity demand has led to the construction of distribution substations in dense urban areas, raising concerns about the health and well-being of the nearby public. These concerns relate to potential environmental and electrical safety impacts. This study assesses and compares electromagnetic fields (EMFs) exposure levels, including electric field (EF) and magnetic field (MF), from three 115/22 kV substations in urban areas: air-insulated switchgear, gas-insulated switchgear, and mixed-technology switchgear. The environmental impact assessment considers air quality, noise, and heat. EMF field measurements are compared with ICNIRP Guidelines to evaluate general public and occupational exposure levels. The correlation between the exposure levels from each substation and their daily load curves is examined. Results show that EMF exposure levels are within acceptable limits, ensuring the safety of the general public and substation personnel. Additionally, measurements for particulate matter less than 10 microns (PM10), 24-h-averaged-noise level (Leq24h), and wet bulb globe temperature (WBGT) indicate that the environmental impact is within the relevant Thai standards. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024."
9,Panfilov D.I.; Astashev M.G.; Panfilov I.D.; Zhuravlev I.I.; Kuzenev D.S.,High-Voltage Reactive-Power Compensators Based on Semiconductor Voltage Controllers,2023,Russian Electrical Engineering,"Abstract: Approaches to the construction of reactive-power compensators (RPCs) based on semiconductor ac voltage controllers are considered. Alternating-current voltage controllers are implemented that are based on a transformer with a partitioned secondary winding and a semiconductor switchboard constructed on the basis of on controlled switches. When analyzing processes in an RPC, the ac voltage controller can be represented as a transformer with an adjustable transformation coefficient. Electromagnetic processes in an RPC are considered when its power is adjusted within a wide range via control of the transformation coefficient of the transformer. Analytical relationships defining the currents, voltages, and installed power values that characterize RPC power-circuit elements are presented. The fact that the requirements for the parameters of the power switches of a semiconductor switchboard depend on the network voltage is noted. Circuitry solutions are given for RPC design that make the requirements for the parameters of power switches depending on the voltage of the supply network less stringent. Examples of calculating the parameters of 10- and 35-kV RPCs that provide reactive-power adjustment in the range from 0 to 5 MVAR are presented. The simulation results for operating modes of RPCs made on the basis of the proposed circuitry solutions, as well as the results of studies on an RPC prototype providing the adjustment of reactive power in the range from 0 to 5 MVAR when operating powered by a 10-kV network, are compared. The features and advantages of RPCs designed on the basis of semiconductor voltage controllers are described. © 2023, Allerton Press, Inc."
10,Liu X.; Zhang J.; Hu Y.; Liu J.; Ding S.; Zhao G.; Zhang Y.; Li J.; Nie Z.,Carbon Emission Evaluation Method and Comparison Study of Transformer Substations Using Different Data Sources,2023,Buildings,"The construction of transformer substations in transmission lines is a systematic, technical, and complex project with the need for numerous materials and resources. Under the development of the green economy, the requirements for energy conservation and carbon reduction have improved; hence, an assessment of carbon emissions in transformer substations is urgently needed. A calculation method was proposed in the present study to analyze the carbon emissions of transformer substations with different kinds of data sources, which were collected from several practical projects in the west-to-east power transmission project. In this study, a detailed comparison and discussion regarding the differences in carbon emissions of 750 kV transformer substations caused by hydrology, geology, engineering quantity, and other factors were conducted. The mean value, standard deviation, and 90% confidence interval of carbon emissions were obtained by Monte Carlo simulation through MATLAB. Results show that the total carbon emissions of the selected 750 kV transformer substations are between [56,000, 68,000] t CO2 eq. Construction engineering accounts for more than 50% of carbon emissions, followed by installation engineering and additional services. In terms of input items, electricity distribution buildings contribute more than 39% of total carbon emissions, followed by cable/earthing systems, which account for 14% of total carbon emissions. Gas insulated switchgear (GIS) and air insulated switchgear (AIS) could adopt different types of equipment foundations, and GIS equipment foundations would generate fewer carbon emissions due to the smaller land area and input materials. This study can provide experience and reference for similar projects and further guide the substation carbon emission reduction work. © 2023 by the authors."
